Electricity total consumption (i.e. sold) Florida
https://www.eia.gov/opendata/qb.php?sdid=SEDS.ESTCB.FL.A
14:14:30 GMT-0700 (PDT)
Source: U.S. Energy Information Administration

Year,Billion Btu
2016,804283
2015,803865
2014,771379
2013,757189
2012,752941
2011,768009
2010,788887
2009,766848
2008,771702
2007,788461
2006,778685
2005,767622
2004,745810
2003,741696
2002,718136
2001,684966
2000,668216
1999,638966
1998,639254
1997,597240
1996,586291
1995,571483
1994,544365
1993,521176
1992,501598
1991,499299
1990,489741
1989,472473
1988,444382
1987,417862
1986,398095
1985,379307
1984,353246
1983,329216
1982,315744
1981,317921
1980,309694
1979,295551
1978,289031
1977,270767
1976,252408
1975,242096
1974,235482
1973,237104
1972,209665
1971,188564
1970,171346
1969,153032
1968,135509
1967,119314
1966,108610
1965,95878
1964,87016
1963,78258
1962,71216
1961,62705
1960,57344
